idx,control_type,name,automation_id,class_name,rect,depth
0,Document,FIATFEED,59131328,Chrome_RenderWidgetHostHWND,"(L1591, T65, R2545, B825)",2
1,Text,,,,"(L0, T0, R0, B0)",3
2,Text,,,,"(L0, T0, R0, B0)",3
3,Text,,,,"(L0, T0, R0, B0)",3
4,Text,,,,"(L0, T0, R0, B0)",3
5,Text,,,,"(L0, T0, R0, B0)",3
6,Text,NEWS2.0,,,"(L0, T0, R0, B0)",3
7,Text,"AA AND (OIL OR Macro & FX: All) AND LEN NOT (""INDONESIA"" OR ""BRAZIL"" OR ""POLL"" OR KE)",,,"(L0, T0, R0, B0)",3
8,Text,,,,"(L0, T0, R0, B0)",3
9,Text,FIATFEED,,,"(L0, T0, R0, B0)",3
10,Text,,,,"(L0, T0, R0, B0)",3
11,Text,,,,"(L0, T0, R0, B0)",3
12,Text,,,,"(L0, T0, R0, B0)",3
13,Text,,,,"(L0, T0, R0, B0)",3
14,Text,,,,"(L0, T0, R0, B0)",3
15,Text,,,,"(L0, T0, R0, B0)",3
16,Text,,,,"(L0, T0, R0, B0)",3
17,Text,,,,"(L0, T0, R0, B0)",3
18,Pane,,contentframe,,"(L1593, T71, R2543, B823)",3
19,Document,,,,"(L1593, T71, R2543, B823)",4
20,Pane,,AppFrame,,"(L1593, T71, R2543, B823)",5
21,Document,NEWS2.0,,,"(L1593, T71, R2543, B823)",6
22,Button,,nm-query-builder-button,,"(L1597, T78, R1621, B102)",7
23,Image,,rightpanel-open,,"(L1601, T82, R1617, B98)",8
24,Button,,,,"(L1625, T78, R1673, B102)",7
25,Image,,save,,"(L1633, T82, R1650, B98)",8
26,Image,,down,,"(L1652, T83, R1665, B96)",8
27,Button,,,,"(L1677, T78, R1701, B102)",7
28,Image,,edit,,"(L1681, T82, R1697, B98)",8
29,Button,,,,"(L1705, T78, R1753, B102)",7
30,Image,,set-alert,,"(L1713, T82, R1730, B98)",8
31,Image,,down,,"(L1732, T83, R1745, B96)",8
32,Group,,,,"(L1757, T78, R2483, B116)",7
33,Button,,,,"(L1762, T81, R1780, B99)",8
34,Image,,,,"(L1762, T81, R1780, B99)",9
35,Text,All Alerts,,,"(L1800, T75, R1847, B89)",8
36,Button,,,,"(L1848, T75, R1863, B89)",8
37,Image,,,,"(L1848, T75, R1863, B89)",9
38,Image,,,,"(L1917, T74, R1936, B92)",8
39,Button,,,,"(L2074, T75, R2089, B89)",8
40,Image,,,,"(L2074, T75, R2089, B89)",9
41,Image,,,,"(L2135, T74, R2154, B92)",8
42,Text,Macro & FX: All,,,"(L2169, T75, R2250, B89)",8
43,Button,,,,"(L2251, T75, R2266, B89)",8
44,Image,,,,"(L2251, T75, R2266, B89)",9
45,Text,),,,"(L2284, T74, R2288, B89)",8
46,Image,,,,"(L2346, T74, R2365, B92)",8
47,Text,English,,,"(L2380, T75, R2419, B89)",8
48,Button,,,,"(L2420, T75, R2435, B89)",8
49,Image,,,,"(L2420, T75, R2435, B89)",9
50,Text,NOT,,,"(L1799, T96, R1824, B111)",8
51,Image,,,,"(L1834, T96, R1853, B114)",8
52,Button,,,,"(L1958, T97, R1973, B111)",8
53,Image,,,,"(L1958, T97, R1973, B111)",9
54,Text,OR,,,"(L1991, T96, R2008, B111)",8
55,Image,,,,"(L2018, T96, R2037, B114)",8
56,Button,,,,"(L2093, T97, R2108, B111)",8
57,Image,,,,"(L2093, T97, R2108, B111)",9
58,Image,,,,"(L2154, T96, R2172, B114)",8
59,Text,POLL,,,"(L2188, T97, R2217, B111)",8
60,Button,,,,"(L2218, T97, R2233, B111)",8
61,Image,,,,"(L2218, T97, R2233, B111)",9
62,Text,OR,,,"(L2251, T96, R2268, B111)",8
63,Image,,,,"(L2278, T96, R2297, B114)",8
64,Text,Kenya,,,"(L2312, T97, R2346, B111)",8
65,Button,,,,"(L2347, T97, R2362, B111)",8
66,Image,,,,"(L2347, T97, R2362, B111)",9
67,Text,),,,"(L2380, T96, R2384, B111)",8
68,Edit,"Search by RIC, topic, portfolio...",,,"(L1788, T79, R1978, B101)",8
69,Button,,clear-btn,,"(L2452, T79, R2468, B117)",8
70,Image,,cross,,"(L2452, T90, R2468, B106)",9
71,Button,,nm-filters-button,,"(L2487, T78, R2511, B102)",7
72,Image,,filter,,"(L2491, T82, R2507, B98)",8
73,Button,,nm-settings-button,,"(L2515, T78, R2539, B102)",7
74,Image,,settings,,"(L2519, T82, R2535, B98)",8
75,Button,Only Important,,,"(L1597, T131, R1709, B155)",7
76,Image,,down,,"(L1686, T135, R1703, B151)",8
77,Group,Only Important,,,"(L1603, T131, R1683, B155)",8
78,Text,Only Important,,,"(L1604, T136, R1682, B150)",9
79,Button,All Time,,,"(L1712, T131, R1796, B155)",7
80,Image,,calendar,,"(L1770, T135, R1787, B151)",8
81,Group,News Feeds; Breaking News Alerts; Web News; X Posts 4,,,"(L1799, T131, R1952, B155)",7
82,ComboBox,Content Type,,,"(L1800, T131, R1908, B155)",8
83,Group,,,,"(L1909, T135, R1924, B151)",8
84,Text,4,,,"(L1913, T137, R1920, B148)",9
85,Image,,down,,"(L1930, T135, R1947, B151)",8
86,Button,,,,"(L1955, T131, R1980, B155)",7
87,Image,,highlight,,"(L1959, T135, R1976, B151)",8
88,Button,,,,"(L1983, T131, R2008, B155)",7
89,Image,,open-playlist,,"(L1987, T135, R2004, B151)",8
90,Image,,live-content,,"(L2519, T135, R2535, B151)",7
91,Group,,nsw-container,,"(L1593, T163, R2543, B823)",7
92,Text,02:46:06,,,"(L1602, T184, R1650, B200)",8
93,Image,,,,"(L1673, T184, R1688, B199)",8
94,Text,EXPLOSION HEARD IN IRAN'S ISFAHAN - IRANIAN MEDIA,,,"(L1691, T183, R2049, B200)",8
95,Text,02:36:34,,,"(L1602, T225, R1650, B241)",8
96,Image,,,,"(L1673, T225, R1688, B240)",8
97,Text,SOUTH KOREA TRADE ENVOY TO VISIT U.S. JUNE 22-27 - TRADE MINISTRY,,,"(L1691, T224, R2164, B241)",8
98,Text,01:35:37,,,"(L1602, T250, R1650, B266)",8
99,Image,,,,"(L1673, T250, R1688, B265)",8
100,Text,"FAA: RESULTING IN A LOSS OF RADAR, FREQUENCIES, AND AUTOMATION EQUIPMENT",,,"(L1691, T249, R2241, B266)",8
101,Text,01:35:20,,,"(L1602, T275, R1650, B291)",8
102,Image,,,,"(L1673, T275, R1688, B290)",8
103,Text,FAA: JACKSONVILLE AIR ROUTE TRAFFIC CONTROL CENTER EXPERIENCING A TELECOMMUNICATIONS ISSUE THAT BEGAN EARLIER TODAY,,,"(L1672, T274, R2484, B307)",8
104,Text,01:14:47,,,"(L1602, T299, R1650, B315)",8
105,Image,,,,"(L1673, T299, R1688, B314)",8
106,Text,ISRAELI MILITARY SAYS A NEW WAVE OF ATTACKS AGAINST MISSILE STORAGE AND LAUNCH INFRASTRUCTURE IN IRAN HAS BEGUN,,,"(L1672, T298, R2493, B331)",8
107,Text,00:57:17,,,"(L1602, T324, R1650, B340)",8
108,Image,,,,"(L1673, T324, R1688, B339)",8
109,Text,"MARATHON ASSESSING DAMAGE AT GALVESTON BAY REFINERY IN TEXAS FROM JUNE 14 FIRE, SOURCES SAY",,,"(L1691, T323, R2393, B340)",8
110,Text,00:56:41,,,"(L1602, T349, R1650, B365)",8
111,Image,,,,"(L1673, T349, R1688, B364)",8
112,Text,"ISRAELI MILITARY INSTRUCTS RESIDENTS THEY ARE NOW PERMITTED TO LEAVE PROTECTED AREAS, SIGNALING THREAT FROM LATEST IRANIAN ATTACK IS OVER",,,"(L1672, T348, R2513, B381)",8
113,Text,00:42:14,,,"(L1602, T374, R1650, B390)",8
